,Temp,Irradiance,Time,Monat,Wochentag,TagArt,Verbrauch,WW,Heiz
8186,5.29,0.0,2,12,0,0,0.21506093032435686,0.01917177914110429,0.59123670669847
8187,4.6,0.0,3,12,0,0,0.2080888797111102,0.01917177914110429,0.59123670669847
8188,4.3,0.0,4,12,0,0,0.20594363298359558,0.05751533742331288,0.5852551116064454
8189,4.02,0.0,5,12,0,0,0.21935142051788512,0.19171779141104295,0.5643195287843595
8190,4.15,0.0,6,12,0,0,0.3646918339880445,0.5559815950920245,0.5074943754101264
8191,4.43,0.0,7,12,0,0,0.6521548248795105,0.5943251533742331,0.5015127803181019
8192,4.65,111.0,8,12,0,0,0.726165830676062,0.5368098159509203,0.5104851729561387
8193,4.91,229.0,9,12,0,0,0.6848698466757019,0.40260736196319014,0.5314207557782246
8194,5.41,254.0,10,12,0,0,0.6290934442261794,0.36426380368098155,0.5374023508702491
8195,6.1,234.0,11,12,0,0,0.6226577027474781,0.325920245398773,0.5433839459622737
8196,6.82,215.0,12,12,0,0,0.672534671917459,0.325920245398773,0.5433839459622737
8197,6.62,122.0,13,12,0,0,0.7197300936200753,0.30674846625766866,0.546374743508286
8198,5.78,49.0,14,12,0,0,0.6446464816586006,0.2684049079754601,0.5523563386003104
8199,5.58,0.0,15,12,0,0,0.5786801604717462,0.2300613496932515,0.558337933692335
8200,5.16,0.0,16,12,0,0,0.5481103986693717,0.28757668711656437,0.5493655410542981
8201,5.13,0.0,17,12,0,0,0.6221213837403112,0.40260736196319014,0.5314207557782246
8202,5.5,0.0,18,12,0,0,0.8173387806298835,0.42177914110429443,0.5284299582322123
8203,6.29,0.0,19,12,0,0,0.9905674149112299,0.5559815950920245,0.5074943754101264
8204,6.35,0.0,20,12,0,0,0.9691149688592521,0.5943251533742331,0.5015127803181019
8205,6.53,0.0,21,12,0,0,0.7985678989705285,0.5368098159509203,0.5104851729561387
8206,6.75,0.0,22,12,0,0,0.6821882929570667,0.30674846625766866,0.546374743508286
8207,6.91,0.0,23,12,0,0,0.5255853240708511,0.19171779141104295,0.5643195287843595
8208,7.07,0.0,0,12,1,0,0.3636280874840882,0.11503067484662576,0.5762827189684087
8209,7.46,0.0,1,12,1,0,0.24851512093792194,0.05751533742331288,0.5852551116064454
8210,7.92,0.0,2,12,1,0,0.21570251503802898,0.01917177914110429,0.59123670669847
8211,7.5,0.0,3,12,1,0,0.2087096648785706,0.01917177914110429,0.59123670669847
8212,7.07,0.0,4,12,1,0,0.2065580183241768,0.05751533742331288,0.5852551116064454
8213,6.59,0.0,5,12,1,0,0.2200058049207009,0.19171779141104295,0.5643195287843595
8214,6.35,0.0,6,12,1,0,0.3657798079702785,0.5559815950920245,0.5074943754101264
8215,6.09,0.0,7,12,1,0,0.6541003783814175,0.5943251533742331,0.5015127803181019
8216,5.79,51.0,8,12,1,0,0.7283321790427493,0.5368098159509203,0.5104851729561387
8217,5.86,150.0,9,12,1,0,0.6869129975879945,0.40260736196319014,0.5314207557782246
8218,6.11,115.0,10,12,1,0,0.6309701991362238,0.36426380368098155,0.5374023508702491
8219,5.95,131.0,11,12,1,0,0.6245152583532111,0.325920245398773,0.5433839459622737
8220,6.13,84.0,12,12,1,0,0.6745410237393327,0.325920245398773,0.5433839459622737
8221,6.18,156.0,13,12,1,0,0.7218772422458343,0.30674846625766866,0.546374743508286
8222,5.93,91.0,14,12,1,0,0.6465696359625467,0.2684049079754601,0.5523563386003104
8223,5.65,0.0,15,12,1,0,0.5804065191772436,0.2300613496932515,0.558337933692335
8224,5.15,0.0,16,12,1,0,0.5497455599217074,0.28757668711656437,0.5493655410542981
8225,4.65,0.0,17,12,1,0,0.6239773393444439,0.40260736196319014,0.5314207557782246
8226,4.3,0.0,18,12,1,0,0.8197771222076993,0.42177914110429443,0.5284299582322123
8227,4.03,0.0,19,12,1,0,0.9935225447141159,0.5559815950920245,0.5074943754101264
8228,3.96,0.0,20,12,1,0,0.9720060995556965,0.5943251533742331,0.5015127803181019
8229,3.86,0.0,21,12,1,0,0.8009502422567683,0.5368098159509203,0.5104851729561387
8230,3.84,0.0,22,12,1,0,0.6842234444371126,0.30674846625766866,0.546374743508286
8231,3.79,0.0,23,12,1,0,0.5271532866929423,0.19171779141104295,0.5643195287843595
8232,3.73,0.0,0,12,2,0,0.3646981387411731,0.11503067484662576,0.5762827189684087
8233,3.59,0.0,1,12,2,0,0.24924642839983543,0.05751533742331288,0.5852551116064454
8234,3.42,0.0,2,12,2,0,0.21633726455402966,0.01917177914110429,0.59123670669847
8235,3.09,0.0,3,12,2,0,0.2093238365153875,0.01917177914110429,0.59123670669847
8236,2.61,0.0,4,12,2,0,0.20716585828054424,0.05751533742331288,0.5852551116064454
8237,2.54,0.0,5,12,2,0,0.22065321774312588,0.19171779141104295,0.5643195287843595
8238,2.46,0.0,6,12,2,0,0.36685619112537254,0.5559815950920245,0.5074943754101264
8239,1.74,0.0,7,12,2,0,0.6560252045788377,0.5943251533742331,0.5015127803181019
8240,1.57,51.0,8,12,2,0,0.7304754480412332,0.5368098159509203,0.5104851729561387
8241,2.16,119.0,9,12,2,0,0.6889343821311286,0.40260736196319014,0.5314207557782246
8242,2.91,159.0,10,12,2,0,0.6328269603835168,0.36426380368098155,0.5374023508702491
8243,3.53,49.0,11,12,2,0,0.6263530245106143,0.325920245398773,0.5433839459622737
8244,3.5100000000000002,58.0,12,12,2,0,0.6765260009779883,0.325920245398773,0.5433839459622737
8245,3.18,67.0,13,12,2,0,0.7240015161674821,0.30674846625766866,0.546374743508286
8246,2.71,108.0,14,12,2,0,0.6484723013614054,0.2684049079754601,0.5523563386003104
8247,2.16,0.0,15,12,2,0,0.5821144859979986,0.2300613496932515,0.558337933692335
8248,1.62,0.0,16,12,2,0,0.5513633004320178,0.28757668711656437,0.5493655410542981
8249,1.24,0.0,17,12,2,0,0.6258135225933189,0.40260736196319014,0.5314207557782246
8250,0.78,0.0,18,12,2,0,0.8221894867332922,0.42177914110429443,0.5284299582322123
8251,1.19,0.0,19,12,2,0,0.9964461913244161,0.5559815950920245,0.5074943754101264
8252,1.23,0.0,20,12,2,0,0.9748664298726255,0.5943251533742331,0.5015127803181019
8253,0.98,0.0,21,12,2,0,0.8033072049398596,0.5368098159509203,0.5104851729561387
8254,0.8300000000000001,0.0,22,12,2,0,0.6862369141123974,0.30674846625766866,0.546374743508286
8255,0.9,0.0,23,12,2,0,0.5287045446722859,0.19171779141104295,0.5643195287843595
8256,0.48,0.0,0,12,3,0,0.3657562628496663,0.11503067484662576,0.5762827189684087
8257,0.5,0.0,1,12,3,0,0.24996958438112352,0.05751533742331288,0.5852551116064454
8258,0.42,0.0,2,12,3,0,0.21696493889802682,0.01917177914110429,0.59123670669847
8259,0.51,0.0,3,12,3,0,0.20993116229402162,0.01917177914110429,0.59123670669847
8260,0.56,0.0,4,12,3,0,0.20776692299912136,0.05751533742331288,0.5852551116064454
